model_key,model_name,best_params,accuracy,precision_macro,recall_macro,f1_macro
gradient_boosting,Gradient Boosting (Sara),"{""clf__learning_rate"": 0.1, ""clf__max_depth"": 3, ""clf__n_estimators"": 100}",0.6111111111111112,0.6318181818181818,0.6111111111111112,0.5886483886483886
svm,SVM RBF (Sara),"{""clf__C"": 10.0, ""clf__gamma"": 0.001, ""clf__kernel"": ""rbf""}",0.98989898989899,0.9932659932659934,0.98989898989899,0.9892255892255892
gaussian_nb,Gaussian Naive Bayes (Sara),"{""clf__var_smoothing"": 1e-07}",0.6212121212121212,0.6305675805675806,0.6212121212121212,0.5887045053711721
